key	value	is_plural	phrase
aeroway	aerodrome	0	airport
aeroway	aerodrome	1	airports
amenity	animal_boarding	0	animal boarding facility
amenity	animal_boarding	1	animal boarding facilities
amenity	animal_shelter	0	animal shelter
amenity	animal_shelter	1	animal shelters
amenity	arts_centre	0	arts centre
amenity	arts_centre	1	arts centres
amenity	arts_centre	0	arts center
amenity	arts_centre	1	arts centers
amenity	atm	0	atm
amenity	atm	1	atms
amenity	atm	0	cash
amenity	atm	1	cash
amenity	atm	0	cash machine
amenity	atm	1	cash machines
amenity	auditorium	0	auditorium
amenity	auditorium	1	auditoriums
amenity	bank	0	bank
amenity	bank	1	banks
amenity	bar	0	bar
amenity	bar	1	bars
amenity	pub	0	bar
amenity	pub	1	bars
amenity	bench	0	bench
amenity	bench	1	benches
amenity	bicycle_parking	0	cycle parking
amenity	bicycle_parking	1	cycle parkings
amenity	bicycle_rental	0	cycle rental
amenity	bicycle_rental	1	cycle rentals
amenity	bicycle_parking	0	bicycle parking
amenity	bicycle_parking	1	bicycle parkings
amenity	bicycle_rental	0	bicycle rental
amenity	bicycle_rental	1	bicycle rentals
amenity	brothel	0	brothel
amenity	brothel	1	brothels
amenity	bureau_de_change	0	bureau de change
amenity	bureau_de_change	1	bureau de changes
amenity	bureau_de_change	1	bureaus de change
amenity	bus_station	0	bus station
amenity	bus_station	1	bus stations
amenity	cafe	0	cafe
amenity	cafe	1	cafes
amenity	car_rental	0	car rental
amenity	car_rental	1	car rentals
amenity	car_sharing	0	car share
amenity	car_sharing	0	car sharing
amenity	car_sharing	1	car sharings
amenity	car_wash	0	car wash
amenity	car_wash	1	car washes
amenity	casino	0	casino
amenity	casino	1	casinos
amenity	cinema	0	cinema
amenity	cinema	1	cinemas
amenity	clinic	0	clinic
amenity	clinic	1	clinics
amenity	club	0	club
amenity	club	1	clubs
amenity	college	0	college
amenity	college	1	colleges
amenity	community_centre	0	community centre
amenity	community_centre	1	community centres
amenity	community_centre	0	community center
amenity	community_centre	1	community centers
amenity	courthouse	0	courthouse
amenity	courthouse	1	courthouses
amenity	crematorium	0	crematorium
amenity	crematorium	1	crematoriums
amenity	dentist	0	dentist
amenity	dentist	1	dentists
amenity	doctors	0	doctor
amenity	doctors	1	doctors
amenity	dojo	0	martial arts
amenity	dojo	1	martial arts
amenity	dojo	0	dojo
amenity	dojo	1	dojos
amenity	dojo	0	dojang
amenity	dojo	1	dojang
amenity	dormitory	0	dormitory
amenity	dormitory	1	dormitorys
amenity	dormitory	1	dormitories
amenity	drinking_water	0	drinking water
amenity	drinking_water	0	water
amenity	driving_school	0	driving school
amenity	driving_school	1	driving schools
amenity	embassy	0	embassy
amenity	embassy	1	embassys
amenity	embassy	1	embassies
amenity	emergency_phone	0	emergency phone
amenity	emergency_phone	1	emergency phones
amenity	fast_food	0	fast food
amenity	restaurant	0	food
amenity	fast_food	0	food
amenity	restaurant	1	food
amenity	fast_food	1	food
amenity	ferry_terminal	0	ferry terminal
amenity	ferry_terminal	1	ferry terminals
amenity	fire_hydrant	0	fire hydrant
amenity	fire_hydrant	1	fire hydrants
amenity	fire_station	0	fire station
amenity	fire_station	1	fire stations
amenity	fountain	0	fountain
amenity	fountain	1	fountains
amenity	fuel	0	fuel
amenity	fuel	1	fuels
amenity	fuel	0	fuel station
amenity	fuel	1	fuel stations
amenity	fuel	0	gas
amenity	fuel	1	gas
amenity	fuel	0	gas station
