key	value	is_plural	phrase
aeroway	aerodrome	0	lughawe
aeroway	aerodrome	1	lughawes
amenity	arts_centre	0	kunssentrum
amenity	arts_centre	1	kunssentrums
amenity	atm	0	otm
amenity	atm	1	otms
amenity	auditorium	0	ouditorium
amenity	auditorium	1	ouditoriums
amenity	bank	0	bank
amenity	bank	1	banks
amenity	bar	0	kroeg
amenity	bar	1	kroegs
amenity	bicycle_parking	0	fietsparkering
amenity	bicycle_parking	1	fietsparkerings
amenity	bicycle_rental	0	fietsverhuring
amenity	bicycle_rental	1	fietsverhurings
amenity	brothel	0	bordeel
amenity	brothel	1	bordeels
amenity	bureau_de_change	0	wisselkantoor
amenity	bureau_de_change	1	wisselkantoors
amenity	bus_station	0	bushalte
amenity	bus_station	1	bushaltes
amenity	cafe	0	kafee
amenity	cafe	1	kafees
amenity	car_rental	0	motorverhuring
amenity	car_rental	1	motorverhurings
amenity	car_wash	0	karwas
amenity	car_wash	1	karwass
amenity	casino	0	casino
amenity	casino	1	casinos
amenity	cinema	0	bioskoop
amenity	cinema	1	bioskoops
amenity	clinic	0	kliniek
amenity	clinic	1	klinieks
amenity	club	0	klub
amenity	club	1	klubs
amenity	college	0	kollege
amenity	college	1	kolleges
amenity	community_centre	0	gemeenskap-sentrum
amenity	community_centre	1	gemeenskap-sentrums
amenity	courthouse	0	hof
amenity	courthouse	1	hofs
amenity	crematorium	0	krematorium
amenity	crematorium	1	krematoriums
amenity	dentist	0	tandarts
amenity	dentist	1	tandartss
amenity	doctors	0	dokters
amenity	doctors	1	dokterss
amenity	dormitory	0	studentehuis
amenity	dormitory	1	studentehuiss
amenity	drinking_water	0	drinkwater
amenity	drinking_water	1	drinkwaters
amenity	driving_school	0	bestuurskool
amenity	driving_school	1	bestuurskools
amenity	embassy	0	ambassade
amenity	embassy	1	ambassades
amenity	emergency_phone	0	noodtelefoon
amenity	emergency_phone	1	noodtelefoons
amenity	fast_food	0	wegneemetes
amenity	fast_food	1	wegneemetess
amenity	ferry_terminal	0	veerterminaal
amenity	ferry_terminal	1	veerterminaals
amenity	fire_hydrant	0	brandkraan
amenity	fire_hydrant	1	brandkraans
amenity	fire_station	0	brandweerstasie
amenity	fire_station	1	brandweerstasies
amenity	fountain	0	fontein
amenity	fountain	1	fonteins
amenity	fuel	0	brandstof
amenity	fuel	1	brandstofs
amenity	grave_yard	0	begraafplaas
amenity	grave_yard	1	begraafplaass
amenity	hall	0	saal
amenity	hall	1	saals
amenity	health_centre	0	gesondheidsentrum
amenity	health_centre	1	gesondheidsentrums
amenity	hospital	0	hospitaal
amenity	hospital	1	hospitaals
amenity	hotel	0	hotel
amenity	hotel	1	hotels
amenity	hunting_stand	0	jagtoring
amenity	hunting_stand	1	jagtorings
amenity	ice_cream	0	roomys
amenity	ice_cream	1	roomyss
amenity	kindergarten	0	kleuterskool
amenity	kindergarten	1	kleuterskools
amenity	library	0	biblioteek
amenity	library	1	biblioteeks
amenity	market	0	mark
amenity	market	1	marks
amenity	marketplace	0	markplein
amenity	marketplace	1	markpleins
amenity	nightclub	0	nagklub
amenity	nightclub	1	nagklubs
amenity	nursery	0	kleuterskool
amenity	nursery	1	kleuterskools
amenity	nursing_home	0	verpleeghuis
amenity	nursing_home	1	verpleeghuiss
amenity	office	0	kantoor
amenity	office	1	kantoors
amenity	park	0	park
amenity	park	1	parks
amenity	parking	0	parkade
amenity	parking	1	parkades
amenity	pharmacy	0	apteek
amenity	pharmacy	1	apteeks
amenity	place_of_worship	0	plek van aanbidding
amenity	place_of_worship	1	plek van aanbiddings
amenity	police	0	polisie
amenity	police	1	polisies
amenity	post_box	0	posbus
amenity	post_box	1	posbuss
amenity	post_office	0	poskantoor
amenity	post_office	1	poskantoors
amenity	preschool	0	kleuterskool
amenity	preschool	1	kleuterskools
amenity	prison	0	tronk
amenity	prison	1	tronks
amenity	pub	0	kroeg
amenity	pub	1	kroegs
amenity	public_building	0	openbare gebou
amenity	public_building	1	openbare gebous
